date,close,high,low,open,volume,ma_crossover_signal,rsi_signal,bb_signal,macd_signal,market_regime,target
2018-03-28,49.8866081237793,50.86342105113232,48.69873801294363,49.560838371734846,67386000,-1,0,0,-1,1,1
2018-03-29,51.238861083984375,51.79555261409075,49.80417897504424,50.237712752736996,54536000,-1,0,0,-1,1,0
2018-04-02,49.98146438598633,51.3883368540401,49.18193548169573,50.79340529965234,53608000,-1,0,0,-1,1,1
2018-04-03,50.326107025146484,50.70252887492903,49.36567663231315,50.350934833158654,45502000,-1,0,0,-1,1,1
2018-04-04,50.90861511230469,51.08630082131443,49.3125391558462,49.33290000279529,49694000,-1,0,0,-1,1,1
2018-04-05,51.04121398925781,51.78512381644567,50.65987429246512,51.71262191443052,27260000,-1,0,0,-1,1,0
2018-04-06,50.009769439697266,51.22048212741883,49.81063171022314,50.65336394061128,34928000,-1,0,0,-1,1,1
2018-04-09,50.42741394042969,51.62670738697837,50.35937899870158,50.49445622443475,35032000,-1,0,0,-1,1,1
2018-04-10,51.23141098022461,51.46183258935683,50.22331028352031,50.97317601244859,39490000,-1,0,0,-1,1,0
2018-04-11,50.651878356933594,51.217704611324045,50.4482698656689,51.050153842637805,29678000,-1,0,0,-1,1,1
2018-04-12,51.27461624145508,51.680836781622816,50.72463082821065,50.903653993785746,27140000,-1,0,0,1,1,0
2018-04-13,51.11371612548828,51.96538608874161,50.80135100759755,51.69026836576851,24460000,-1,0,0,1,1,1
2018-04-16,51.5462532043457,51.80746614132314,50.9880764996685,51.49758645777638,24224000,-1,0,0,1,1,1
2018-04-17,53.34296417236328,53.527700808534455,52.056763900875325,52.21120932093894,46406000,-1,0,0,1,1,0
2018-04-18,53.23966598510742,53.50534587873895,52.94890443644345,53.50534587873895,26882000,-1,0,0,1,1,1
2018-04-19,54.01536178588867,54.33641458253585,53.04599739060233,53.10658361250024,34954000,-1,0,-1,1,1,0
2018-04-20,53.28336715698242,54.24627919997797,53.11502075071515,53.73229469579824,37794000,-1,0,0,1,1,0
2018-04-23,53.00974655151367,53.768057512679114,52.674538909239985,53.52670907109768,46826000,-1,0,0,1,1,0
2018-04-24,50.65237045288086,52.49078751174178,50.18606006610717,52.24248671218052,95206000,-1,0,0,1,1,1
2018-04-25,50.71195983886719,51.27361839527503,50.42045570260806,50.92748778042137,47822000,-1,0,0,1,1,1
2018-04-26,51.6485595703125,52.04286066416732,50.56348612169311,51.12563730884919,41590000,-1,0,0,1,1,0
2018-04-27,51.15244674682617,52.118336712992715,50.930962856257345,51.9445269097178,32396000,-1,0,0,1,1,0
2018-04-30,50.52077865600586,51.497591778892264,50.496939714701526,51.150468453500984,33426000,-1,0,0,-1,1,1
2018-05-01,51.51298141479492,51.570585866134046,50.06786895558887,50.33851591539938,28558000,-1,0,0,1,1,0
2018-05-02,50.87088394165039,51.66589293564316,50.79589660405762,51.05561679362839,32062000,-1,0,0,-1,1,0
2018-05-03,50.838104248046875,51.13382910206482,49.97252567420491,50.60370821178082,36302000,-1,0,0,-1,1,1
2018-05-04,52.054283142089844,52.069180585962414,50.49942495259664,50.49942495259664,38774000,-1,0,0,1,1,1
2018-05-07,52.38104248046875,52.723202495259606,51.99915721398557,52.10493209016548,29322000,-1,0,0,1,1,0
2018-05-08,52.33734130859375,52.66708551518945,52.001391097190584,52.56726658804805,24354000,-1,0,0,1,1,1
2018-05-09,53.770042419433594,53.903130544313626,52.459260595647876,52.54542101492356,40656000,-1,0,0,1,1,1
2018-05-10,54.50550842285156,54.64803057868303,53.913062268580596,53.932426671336124,28860000,-1,0,0,1,1,1
2018-05-11,54.53976821899414,54.69222831243921,54.174769510688535,54.308353953399426,25074000,-1,0,0,1,1,1
2018-05-14,54.6361083984375,55.160023257487815,54.58198203489954,54.62617803312649,30362000,-1,0,0,1,1,0
2018-05-15,53.59474182128906,54.13206520716553,53.308701039569165,54.129583562702486,29898000,-1,0,0,1,1,1
2018-05-16,53.72087478637695,54.0933260039402,53.44724604915736,53.49939088667489,21946000,-1,0,0,1,1,0
2018-05-17,53.56295394897461,53.974137750629765,53.31018239432715,53.62751079470334,20876000,-1,0,0,1,1,0
2018-05-18,52.95560836791992,53.133392587263245,52.67353826848486,52.73213537734949,31304000,-1,0,0,1,1,1
2018-05-21,53.61212158203125,54.0302616002795,53.31763564871697,53.33799649844075,20464000,-1,0,0,1,1,0
2018-05-22,53.122962951660156,53.96023176732551,52.97199564032962,53.809764573575045,21800000,-1,0,0,1,1,1
2018-05-23,53.617584228515625,53.67171438405742,52.72469240404421,52.894531592290306,21214000,-1,0,0,1,1,0
2018-05-24,53.59523391723633,53.65631267204683,52.945179560939714,53.58331444805737,15336000,-1,0,0,1,1,0
2018-05-25,53.417449951171875,53.76010248718581,53.323840820074714,53.58430736540748,17988000,-1,0,0,1,1,0
2018-05-29,52.655662536621094,53.30372781109111,52.40239843488871,52.882609843771405,37302000,-1,0,0,-1,1,1
2018-05-30,53.02711868286133,53.097138933150774,52.48234666250976,52.79024102102777,22770000,-1,0,0,-1,1,1
2018-05-31,53.88078308105469,54.48663770458597,53.015204489381134,53.015204489381134,61766000,-1,0,0,-1,1,1
2018-06-01,55.59455108642578,55.619382683488816,54.551688418864316,54.593899102855666,48432000,-1,0,-1,1,1,1
2018-06-04,56.577327728271484,56.706445213382665,55.71895162592636,55.73509178516148,37792000,-1,0,-1,1,1,1
2018-06-05,56.595699310302734,56.89753163323561,56.274396500863205,56.66174514038327,33560000,-1,0,-1,1,1,0
2018-06-06,56.45764923095703,56.76156919336508,55.9045835518841,56.72035116615059,33964000,-1,0,0,1,1,0
2018-06-07,55.811065673828125,56.405000736142426,55.446559540070766,56.18153154178779,30400000,-1,0,0,1,1,0
2018-06-08,55.6625862121582,55.95061606847008,55.229548770007696,55.52900176721011,25816000,-1,0,0,1,1,1
2018-06-11,56.11548614501953,56.476514215651655,55.54985693605794,55.54985693605794,21586000,-1,0,0,1,1,1
2018-06-12,56.57881546020508,56.60215428149233,56.15248415089527,56.16912063860182,18240000,-1,0,0,1,1,0
2018-06-13,56.353851318359375,56.93537440070571,56.283831068402755,56.66820173871819,30128000,-1,0,0,1,1,1
2018-06-14,57.21446228027344,57.3808233608689,56.644366131483906,56.80377482002096,26868000,-1,0,0,1,1,1
2018-06-15,57.22141647338867,57.279024715664086,56.78565113400642,57.05257374344709,42450000,-1,0,0,1,1,1
2018-06-18,58.27421569824219,58.31642638249536,56.79086685941903,56.79384483247558,28274000,-1,-1,0,1,1,0
2018-06-19,58.00605010986328,58.16545880940326,57.308325423061795,57.53129831312758,32420000,-1,0,0,1,1,1
2018-06-20,58.09444046020508,58.91115138537104,58.06067115835546,58.36608007261501,32970000,-1,0,0,1,1,0
2018-06-21,57.48957824707031,58.464655939666194,57.22002245938992,58.343237246727824,24762000,-1,0,0,1,1,0
2018-06-22,57.381324768066406,57.729793086198335,56.97311891571843,57.563083424053346,26220000,-1,0,0,1,1,0
2018-06-25,55.85824966430664,56.8067568129822,55.26083644504233,56.791363041356945,43146000,-1,0,0,-1,1,0
2018-06-26,55.54290771484375,56.275394380758144,55.453470013515066,56.01666686451935,31264000,-1,0,0,-1,1,0
2018-06-27,54.823829650878906,56.20716257342118,54.80595044585944,55.6859301360101,25878000,-1,0,0,-1,1,1
2018-06-28,55.33234786987305,55.73410145589985,54.42803668501432,54.72997133841827,21448000,-1,0,0,-1,1,1
2018-06-29,55.403358459472656,56.02793332503322,55.37107814321611,55.619378942064614,26302000,-1,0,0,-1,1,1
2018-07-02,55.989845275878906,56.01666218671263,54.318281829450605,54.576516784042994,24346000,-1,0,0,-1,1,0
2018-07-03,54.76969528198242,56.40500400772636,54.62716934795472,56.40500400772636,13580000,-1,0,0,-1,1,1
2018-07-05,55.8314323425293,55.99183369885461,55.04729718783454,55.1491014311372,21334000,-1,0,0,-1,1,1
2018-07-06,56.621028900146484,56.65877262563089,55.65598374800999,55.79716846859329,19922000,-1,0,0,-1,1,1
2018-07-09,57.31031036376953,57.34110169553481,56.7824248631513,57.03370365056815,18180000,-1,0,0,-1,1,0
2018-07-10,57.250221252441406,57.585428871928386,57.08882723640385,57.455815056992364,15968000,-1,0,0,-1,1,1
2018-07-11,57.302860260009766,57.818830067313776,56.662243719679154,56.840524276005084,22400000,-1,0,0,1,1,1
2018-07-12,58.771812438964844,58.817997544654276,57.40392251378839,57.60032855922189,25038000,-1,0,0,1,1,1
2018-07-13,59.03699493408203,59.36460226703109,58.598990431457835,58.84729123837079,24438000,-1,0,0,1,1,0
2018-07-16,58.79068374633789,59.14525577874867,58.56324009962472,59.065305156021395,21114000,-1,0,0,1,1,1
2018-07-17,59.53260040283203,59.7431612764593,58.1321839963052,58.21263473117882,32208000,-1,0,0,1,1,0
2018-07-18,59.38758850097656,59.81565882063526,59.11247080119875,59.42135780246277,27872000,-1,0,0,1,1,0
2018-07-19,58.94462203979492,59.59219093900765,58.76385984867731,59.1452487492112,25534000,-1,0,0,1,1,0
2018-07-20,58.84282684326172,59.436265684304495,58.80856120696755,58.94463109439221,24948000,-1,0,0,1,1,1
2018-07-23,59.865325927734375,59.91448900243019,58.64864970333237,58.649146032153666,52384000,-1,0,0,1,1,1
2018-07-24,61.9798583984375,62.86976846907477,61.35811367488933,62.700429396918516,66364000,-1,-1,-1,1,1,1
2018-07-25,62.755550384521484,62.86281424697385,61.53539979571826,61.53539979571826,42556000,-1,-1,-1,1,1,1
2018-07-26,62.985469818115234,63.05702830710946,62.026532265066095,62.12485841037124,48112000,-1,-1,0,1,1,0
2018-07-27,61.50410842895508,63.26158224813694,61.13165722273762,63.11806365589738,42612000,-1,0,0,1,1,0
2018-07-30,60.572486877441406,61.32613001607943,60.161799389540505,60.983178154112075,36998000,-1,0,0,1,1,0
2018-07-31,60.4493293762207,60.962218930757246,59.870291690011555,60.58589558311339,32894000,-1,0,0,1,1,1
2018-08-01,60.585899353027344,61.254325526361335,60.09923184388879,60.982685870968595,31344000,-1,0,0,1,1,1
2018-08-02,60.89080810546875,61.076041059965995,59.83006623043103,59.885189041946276,30626000,-1,0,0,-1,1,0
2018-08-03,60.76963806152344,61.08199939000257,60.340074931395016,61.063127528167215,21792000,-1,0,0,-1,1,1
2018-08-06,60.8222770690918,60.8877318560435,60.37667606491397,60.83370021001906,21634000,-1,0,0,-1,1,1
2018-08-07,61.688846588134766,62.13330337160922,61.388400940548124,61.429618965997314,29880000,-1,0,0,-1,1,1
2018-08-08,61.85719299316406,62.397994401078556,61.47967619255029,61.60193979042473,27406000,-1,0,0,-1,1,1
2018-08-09,62.03050994873047,62.35041850459936,61.877057199549995,62.070235198722,16972000,-1,0,0,-1,1,0
2018-08-10,61.45991897583008,61.861422510049856,61.18132314034288,61.72758799864326,22174000,-1,0,0,-1,1,0
2018-08-13,61.33079528808594,62.03909819011221,61.262809606110416,61.42862510832055,19946000,-1,0,0,-1,1,1
2018-08-14,61.68288803100586,61.87010630000391,60.83916310403284,61.339735364931016,26962000,-1,0,0,-1,1,0
2018-08-15,60.306312561035156,61.34222286914161,60.064464012678954,61.04525529643301,36576000,-1,0,0,-1,1,0
2018-08-16,59.914493560791016,60.8833615926021,59.718830115994464,60.820293728572445,26864000,-1,0,0,-1,1,0
2018-08-17,59.63986587524414,60.04012664218229,59.00818706615897,59.693003367731244,27792000,-1,0,0,-1,1,1
2018-08-20,59.978057861328125,60.13845922479993,59.32532479017626,59.841491649443654,17416000,-1,0,0,-1,1,0
2018-08-21,59.67265319824219,60.44933593329308,59.60978234561368,59.98948531709278,24112000,-1,0,0,-1,1,1
2018-08-22,59.956207275390625,60.1801728290644,59.542538014030804,59.59219742079416,17748000,-1,0,0,-1,1,0
2018-08-23,59.859371185302734,60.648965996753866,59.802759384796495,59.946770530375545,19852000,-1,0,0,-1,1,1
2018-08-24,60.617679595947266,60.66733900153541,59.90798618343914,60.03020053043364,18932000,-1,0,0,-1,1,1
2018-08-27,61.668983459472656,61.73205132114202,60.86925751297213,60.96281739378816,23126000,-1,0,0,-1,1,0
2018-08-28,61.13911056518555,61.70498986828494,61.01694925791616,61.64266460374438,26080000,-1,0,0,-1,1,1
2018-08-29,62.040443420410156,62.10798203193194,61.397792276781445,61.45197168577738,25978000,-1,0,0,1,1,0
2018-08-30,61.53489685058594,62.25571402063432,61.210616076322246,61.78865725972087,26628000,-1,0,0,1,1,0
2018-08-31,60.495513916015625,61.51205599487815,60.1526113098396,61.32930847478208,36328000,-1,0,0,-1,1,0
2018-09-04,59.44321060180664,60.23727987199287,59.21974139506892,59.80424245406728,36620000,-1,0,0,-1,1,0
2018-09-05,58.92079162597656,59.54303265132716,57.705108014283915,59.28430135262247,41226000,-1,0,0,-1,1,0
2018-09-06,58.17390060424805,58.91185066503176,57.20850690343771,58.91185066503176,37770000,-1,0,1,-1,1,0
2018-09-07,57.84564971923828,58.36360486638052,57.467485024073696,57.539740653672176,28026000,-1,0,1,-1,1,0
2018-09-10,57.836212158203125,58.32785051229359,57.61125394798657,58.21114882318049,22308000,-1,0,0,-1,1,1
2018-09-11,58.467891693115234,58.53344120114919,57.419069254412804,57.68673827028372,24186000,-1,0,0,-1,1,0
2018-09-12,57.74583053588867,58.529965704628005,57.524346629614776,58.23746888557414,25910000,-1,0,0,-1,1,1
2018-09-13,58.36707305908203,58.52995983494863,57.74731752000661,58.13913311188985,28624000,-1,0,0,-1,1,0
2018-09-14,58.228031158447266,58.620100637865086,58.01945937937506,58.55430107224933,18880000,-1,0,0,-1,1,0
2018-09-17,57.40963363647461,58.461930348197946,57.30931837860379,58.10934364227521,26130000,-1,0,0,-1,1,1
2018-09-18,57.666378021240234,58.40432810858918,57.46128053812676,57.46128053812676,24072000,-1,0,0,-1,1,1
2018-09-19,58.15652084350586,58.26179938879433,57.336631067696096,57.85309721737035,23828000,-1,0,0,-1,1,1
2018-09-20,58.940155029296875,59.09012968926177,58.26924726764407,58.598495143695246,24508000,-1,0,0,-1,1,0
2018-09-21,57.90822219848633,59.20534546172257,57.905736765431406,59.19491497818568,88112000,-1,0,0,-1,1,1
2018-09-24,58.269737243652344,58.49966628561382,56.95573143323312,57.465245127483605,25420000,-1,0,0,-1,1,1
2018-09-25,58.82990646362305,58.94065219652872,58.003068137419305,58.40779586325516,19554000,-1,0,0,1,1,0
2018-09-26,58.62332534790039,59.305652445234394,58.339019864831485,58.85473960715712,29246000,-1,0,0,1,1,1
2018-09-27,59.326019287109375,59.69648521740127,58.779261888864106,58.93320719137608,25216000,-1,0,0,1,1,0
2018-09-28,59.267913818359375,59.364254654230464,58.82246058747076,59.188455740260885,27612000,-1,0,0,1,1,1
2018-10-01,59.35928726196289,60.083828842470346,59.110490123550356,59.58673089447302,27152000,-1,0,0,1,1,1
2018-10-02,59.597660064697266,60.086812982038246,58.9282412677367,59.143269110523015,33758000,-1,0,0,1,1,1
2018-10-03,59.73869323730469,59.910517737761836,59.28579505840794,59.84049748257566,25124000,-1,0,0,1,1,0
2018-10-04,58.01250457763672,59.4685401286663,57.38609213278481,59.3602798240756,44190000,-1,0,0,1,1,0
2018-10-05,57.47418975830078,58.27620032720415,56.86684617901979,57.97824010795789,23686000,-1,0,0,1,1,0
2018-10-08,57.058040618896484,58.00307348601481,55.9850799373282,57.114652418200826,38648000,-1,0,0,-1,1,0
2018-10-09,56.55398941040039,57.32520865974794,56.49201271389319,56.917995469633155,26174000,-1,0,1,-1,1,0
2018-10-10,53.69355773925781,56.2237434374117,53.68908699131704,56.16961328840341,53514000,-1,1,1,-1,1,0
2018-10-11,53.599205017089844,54.94400227895496,53.05046235523999,53.28237294482413,58980000,-1,1,1,-1,1,1
2018-10-12,55.12675476074219,55.37108115365448,53.95089871193376,55.02346153187485,42026000,-1,0,0,-1,1,0
2018-10-15,54.241310119628906,55.293906092484484,54.07991611181197,55.06864858413319,27448000,-1,0,0,-1,1,1
2018-10-16,55.682945251464844,55.82894549024168,54.75032823380208,54.854117789817465,38570000,1,0,0,-1,1,0
2018-10-17,55.40534973144531,56.06583083669675,54.73493826023089,55.94019143734586,29344000,1,0,0,-1,1,0
2018-10-18,54.028770446777344,55.7107608186724,53.488469102737334,55.7107608186724,41890000,1,0,0,-1,1,1
2018-10-19,54.450382232666016,55.14065817068047,54.01784113717514,54.29692948530633,25352000,1,0,0,-1,1,1
2018-10-22,54.68378448486328,55.23352361808213,54.17923779794611,54.77814000822821,30284000,1,0,0,-1,1,1
2018-10-23,54.809425354003906,55.01799712327059,53.13637287414337,53.67717048776406,36974000,1,0,0,-1,1,0
2018-10-24,52.17842483520508,54.93009440598542,52.08059501986489,54.83723166736228,39648000,1,0,0,-1,1,1
2018-10-25,54.40618133544922,55.17144458626176,53.114025269926714,53.225263543851405,50916000,1,0,0,-1,1,0
2018-10-26,53.209373474121094,54.950457055571604,51.353073410656236,51.49907743403357,83752000,1,0,0,-1,1,0
2018-10-29,50.657344818115234,54.47919085049269,49.45308425147086,53.75564185274782,77614000,1,0,0,-1,1,1
2018-10-30,51.4583625793457,51.521926774535096,49.69741045628926,50.08029219159681,64254000,1,0,0,-1,1,1
2018-10-31,53.472572326660156,54.225916117482505,52.49078846198879,52.63033642364346,50596000,1,0,0,-1,1,0
